00:53:44.752 [main] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcher'
00:53:45.709 [main] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 953 ms
00:53:50.675 [qtp954976358-24] INFO  c.b.u.web.controller.UserController - Page for getting all users is requested
00:53:50.948 [qtp954976358-19] INFO  c.b.u.web.controller.UserController - Following resources are requested: assets/css/style.css
00:53:50.963 [qtp954976358-23] INFO  c.b.u.web.controller.UserController - Following resources are requested: assets/css/reset.css
00:53:52.426 [qtp954976358-18] INFO  c.b.u.web.controller.UserController - Page for getting all users is requested
00:53:52.453 [qtp954976358-23] INFO  c.b.u.web.controller.UserController - Following resources are requested: assets/css/style.css
00:53:52.461 [qtp954976358-18] INFO  c.b.u.web.controller.UserController - Following resources are requested: assets/css/reset.css
00:53:56.030 [qtp954976358-23] INFO  c.b.u.web.controller.UserController - Request to remove user with id 4
00:53:56.067 [qtp954976358-18] INFO  c.b.u.web.controller.UserController - Page for getting all users is requested
00:53:56.088 [qtp954976358-23] INFO  c.b.u.web.controller.UserController - Following resources are requested: assets/css/style.css
00:53:56.097 [qtp954976358-18] INFO  c.b.u.web.controller.UserController - Following resources are requested: assets/css/reset.css
00:58:48.870 [main] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcher'
00:58:49.760 [main] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 886 ms
00:58:54.160 [qtp442940993-23] INFO  c.b.u.web.controller.UserController - Page for getting all users is requested
00:58:54.431 [qtp442940993-22] INFO  c.b.u.web.controller.UserController - Following resources are requested: assets/css/style.css
00:58:54.439 [qtp442940993-21] INFO  c.b.u.web.controller.UserController - Following resources are requested: assets/css/reset.css
00:58:55.362 [qtp442940993-19] INFO  c.b.u.web.controller.UserController - Page for adding new user is requested
00:58:55.396 [qtp442940993-21] INFO  c.b.u.web.controller.UserController - Following resources are requested: assets/css/style.css
00:58:55.401 [qtp442940993-19] INFO  c.b.u.web.controller.UserController - Following resources are requested: assets/css/reset.css
00:59:16.015 [qtp442940993-21] INFO  c.b.u.web.controller.UserController - Request to add new user with name "qwe_f" "qwe_l"
00:59:16.016 [qtp442940993-21] INFO  c.b.userstore.dao.jdbc.JdbcUserDao - Start to add new user to DB
00:59:16.081 [qtp442940993-21] ERROR c.b.u.web.controller.UserController - New user was nor added
00:59:16.112 [qtp442940993-19] INFO  c.b.u.web.controller.UserController - Page for getting all users is requested
00:59:16.158 [qtp442940993-21] INFO  c.b.u.web.controller.UserController - Following resources are requested: assets/css/style.css
00:59:16.171 [qtp442940993-19] INFO  c.b.u.web.controller.UserController - Following resources are requested: assets/css/reset.css
01:00:59.263 [main] INFO  o.f.c.i.license.VersionPrinter - Flyway Community Edition 6.3.2 by Redgate
01:00:59.514 [main] INFO  o.f.c.i.database.DatabaseFactory - Database: jdbc:h2:mem:userstore (H2 1.4)
01:00:59.590 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.031s)
01:00:59.612 [main] INFO  o.f.c.i.s.JdbcTableSchemaHistory - Creating Schema History table "PUBLIC"."flyway_schema_history" ...
01:00:59.681 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "PUBLIC": << Empty Schema >>
01:00:59.690 [main] INFO  o.f.core.internal.command.DbMigrate - Migrating schema "PUBLIC" to version 1.0 - initial schema
01:00:59.749 [main] INFO  o.f.core.internal.command.DbMigrate - Migrating schema "PUBLIC" to version 1.1 - insert initial users
01:00:59.780 [main] INFO  o.f.core.internal.command.DbMigrate - Migrating schema "PUBLIC" to version 1.2 - update users
01:00:59.825 [main] INFO  o.f.core.internal.command.DbMigrate - Successfully applied 3 migrations to schema "PUBLIC" (execution time 00:00.161s)
01:00:59.832 [main] INFO  c.b.userstore.dao.jdbc.JdbcUserDao - Start to get user from DB by login
01:00:59.855 [main] INFO  o.f.core.internal.command.DbClean - Successfully dropped pre-schema database level objects (execution time 00:00.000s)
01:00:59.863 [main] INFO  o.f.core.internal.command.DbClean - Successfully cleaned schema "PUBLIC" (execution time 00:00.005s)
01:00:59.864 [main] INFO  o.f.core.internal.command.DbClean - Successfully dropped post-schema database level objects (execution time 00:00.000s)
01:00:59.876 [main] INFO  o.f.c.i.database.DatabaseFactory - Database: jdbc:h2:mem:userstore (H2 1.4)
01:00:59.890 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.008s)
01:00:59.903 [main] INFO  o.f.c.i.s.JdbcTableSchemaHistory - Creating Schema History table "PUBLIC"."flyway_schema_history" ...
01:00:59.927 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "PUBLIC": << Empty Schema >>
01:00:59.932 [main] INFO  o.f.core.internal.command.DbMigrate - Migrating schema "PUBLIC" to version 1.0 - initial schema
01:00:59.958 [main] INFO  o.f.core.internal.command.DbMigrate - Migrating schema "PUBLIC" to version 1.1 - insert initial users
01:00:59.982 [main] INFO  o.f.core.internal.command.DbMigrate - Migrating schema "PUBLIC" to version 1.2 - update users
01:01:00.032 [main] INFO  o.f.core.internal.command.DbMigrate - Successfully applied 3 migrations to schema "PUBLIC" (execution time 00:00.114s)
01:01:00.034 [main] INFO  c.b.userstore.dao.jdbc.JdbcUserDao - Start to get user from DB by login
01:01:00.036 [main] INFO  c.b.userstore.dao.jdbc.JdbcUserDao - There is no User with login pav1 in DB
01:01:00.049 [main] INFO  o.f.core.internal.command.DbClean - Successfully dropped pre-schema database level objects (execution time 00:00.000s)
01:01:00.055 [main] INFO  o.f.core.internal.command.DbClean - Successfully cleaned schema "PUBLIC" (execution time 00:00.003s)
01:01:00.056 [main] INFO  o.f.core.internal.command.DbClean - Successfully dropped post-schema database level objects (execution time 00:00.000s)
01:01:00.061 [main] INFO  o.f.c.i.database.DatabaseFactory - Database: jdbc:h2:mem:userstore (H2 1.4)
01:01:00.069 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.004s)
